CHROMATOGRAM,
hela10k06.raw,
Data points: 3302,
Time,Intensity
31.45475949,1404776.875
31.51399574,1344986.25
31.57430075,984772.25
31.63590755,715644.1875
31.69724237,748104.375
31.75863445,577762.5
31.81871829,783394.25
31.88096602,1254801.25
31.94101982,1595017
32.00179542,1136841
32.06005972,1621671.5
32.12107414,1331009.75
32.18336314,817794.0625
32.24346739,540963
32.3058209,208648.7969
32.36753552,146284.1406
32.41469334,132554.4531
32.44614249,183568.3906
32.4930517,129431.6484
32.55576402,283467.25
32.59596827,416174.4375
32.65620357,624532.375
32.71741333,465104.1563
32.7798368,231968.3438
32.84021097,157645.6094
32.88725059,158043.5313
32.92769342,203665.7813
32.95902664,189511.5781
32.99862415,224218.7656
33.03231435,232941.0156
33.07939184,175112.3125
33.10428042,183779.4531
33.12236262,222660.875
33.14705382,255731.8281
33.19404498,217209.4219
33.24110372,212329.8594
33.26600349,263183.8438
33.28402784,279009.4375
33.3020075,274976.3438
33.32003057,308317.9688
33.35375012,287050.5625
33.38513057,322622.7188
33.43895049,681499.5625
33.4769156,639940.375
33.50828027,634720.75
33.55531852,538548.125
33.57340964,468192.5938
33.59147092,359140.25
33.60958434,423631.4063
33.63645908,386664.2188
33.66786192,337188.5313
33.69925067,290587.625
33.73296205,350773.1875
33.7577088,328884.9063
33.78913984,413125.5625
33.80718904,277515.4688
33.83208557,318728.6563
33.85028382,400176.3438
33.86840372,359396.6875
33.88657197,324538.4688
33.90473963,334240.2813
33.92284192,365513.4063
33.96314239,322466.25
34.00127445,344749.4063
34.02613924,551060.1875
34.04423169,342903.8438
34.06911254,355037.0625
34.10062825,291785.0625
34.1254959,366895.9375
34.14360832,339476.9063
34.16174304,381496.3438
34.17988838,338848.0625
34.20695669,407628.2188
34.23178995,377819
34.27906179,433311.2813
34.31736562,327265.6563
34.3445358,322068.7188
34.38506624,357978.3438
34.42317489,216514.8906
34.44808465,228290.5156
34.47297955,231927.9375
34.49790367,283902.0625
34.5160658,220899.1719
34.54089274,230169.8594
34.57248244,213306
34.61962622,156826.8906
34.64446919,127828.2656
34.67622742,110706.6953
34.69461147,180610.5938
34.71271807,103482.0703
34.7376824,78823.35156
34.7627106,93242.57031
34.78777257,140428.2344
34.81269859,74173.76563
34.84735988,54385.64453
34.8726748,98794.99219
34.89118375,151623.0781
34.90939192,111369.375
34.92780165,169727.7656
34.9459747,155716.4375
35.00854467,223262.3281
35.0333657,316486.9688
35.06473273,450457.3438
35.12491382,884690.3125
35.18526812,1322634.5
35.24538145,1533018.875
35.30463372,1899827
35.36694387,1599968.125
35.42804109,1393861.375
35.48784444,895365.4375
35.54914562,423256.5
35.60940698,301738.125
35.6630953,163511.9531
35.68123932,121968.8672
35.70852277,132066.0469
35.72685479,118616.7188
35.74531505,105732.1953
35.76376397,136140.875
35.78198268,102552.4453
35.80930428,69330.36719
35.8279547,136108.5781
35.85286533,80517.90625
35.87135919,111160.2813
35.89913301,56139.80469
35.92444822,112328.6563
35.94300628,61293.90234
35.96165707,86764.74219
35.98019427,92984.51563
36.01563809,60295.52344
36.03428849,137311.9531
36.05298516,52096.12109
36.07163599,93366.15625
36.09023006,58161.07813
36.10888044,73844.64844
36.12747841,63565.10156
